description,nom_localisation,salarie_nombre,telephone
Gestion d'installations informatiques,"ALTIMANCE,ANZIN",0 salarié,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"A.KA.O. INFORMATIQUE,ANZIN",10 à 19 salariés,0327202222
"Ingénierie, études techniques","MS TECHNOLOGIES,ANZIN",1 ou 2 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"VALLOUREC SERVICES CENTER-VSC,VALENCIENNES",100 à 199 salariés,Modifier ces informations
"Ingénierie, études techniques","ABYLSEN SIGMA,VALENCIENNES",0 salarié,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"LYRECO MANAGEMENT,MARLY",250 à 499 salariés,0327236502
Activités des agences de publicité,"ADREXO,PROUVY",250 à 499 salariés,http://www.adrexo.fr
Enseignement supérieur,"UNIVERSITE POLYTECHNIQUE HAUTS DE FRANCE,AULNOY-LEZ-VALENCIENNES",0 salarié,Modifier ces informations
Activités des sièges sociaux,"PAPILLONS BLANCS DENAIN ET ENVIRONS,DENAIN",20 à 49 salariés,0327433800
Vente à distance sur catalogue général,"LECLERC DRIVE,RAISMES",10 à 19 salariés,Modifier ces informations
Conseil en systèmes et logiciels informatiques,"APNOS,DOUAI",10 à 19 salariés,0327943020
Édition de logiciels système et de réseau,"XSCALIBUR,FAMARS",0 salarié,Modifier ces informations
Vente à distance sur catalogue général,"DOUAI DISTRIBUTION,WAZIERS",0 salarié,Modifier ces informations
"Ingénierie, études techniques","EXPLEO REGIONS,FAMARS",100 à 199 salariés,0327200824
Vente à distance sur catalogue général,"PONERA,PROUVY",0 salarié,Modifier ces informations
Formation continue d'adultes,"HORTIBAT,BEAUVOIS-EN-CAMBRESIS",20 à 49 salariés,Modifier ces informations
"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","PRINTYCOLORS,BEAUVOIS-EN-CAMBRESIS",0 salarié,Modifier ces informations
Programmation informatique,"VSI INNOVATION,ANZIN",0 salarié,0972524723
Commerce de gros (commerce interentreprises) d'autres machines et équipements de bureau,"SV PRINT,ANZIN",3 à 5 salariés,0652804655
Programmation informatique,"BLUE BADAM,ANZIN",0 salarié,0374010586
Programmation informatique,"MLK CONNECT,DENAIN",1 ou 2 salariés,Modifier ces informations
"Ingénierie, études techniques","SEGULA MATRA AUTOMOTIVE,PROUVY",0 salarié,Modifier ces informations
Programmation informatique,"URBAN LABS TECHNOLOGIES,FAMARS",1 ou 2 salariés,Modifier ces informations
Fabrication d'équipements d'aide à la navigation,"DELTA BOX,DOUAI",10 à 19 salariés,Modifier ces informations
Conseil pour les affaires et autres conseils de gestion,"ECOLE DU COMMERCE,ANZIN",10 à 19 salariés,0327329000
Programmation informatique,"BABAOO,ANZIN",0 salarié,https://babaoo.com/
Formation continue d'adultes,"POUR L INSERTION ET LA FORMATION,VALENCIENNES",50 à 99 salariés,0327201729
Conseil pour les affaires et autres conseils de gestion,"ECO GRANUL',ESCARMAIN",6 à 9 salariés,0678778518
Activités des sièges sociaux,"TOSCA,ECAILLON",0 salarié,0769160760
Edition de logiciels applicatifs,"CREO IGNEM,ANZIN",1 ou 2 salariés,Modifier ces informations
"Activités spécialisées, scientifiques et techniques diverses","EUROPEENNE DE ROBOTIQUE ET D AUTOMATISME,DENAIN",10 à 19 salariés,0327090090
Recherche-développement en autres sciences physiques et naturelles,"RAILENIUM,FAMARS",20 à 49 salariés,Modifier ces informations
Formation continue d'adultes,"ID FORMATION DENAIN,DENAIN",20 à 49 salariés,0615674763
Télécommunications filaires,"SERVICES DIVERS,VALENCIENNES",200 à 249 salariés,0328375985
"Ingénierie, études techniques","VAL TUBES,BRUAY-SUR-L-ESCAUT",0 salarié,Modifier ces informations
"Commerce de gros (commerce interentreprises) d'ordinateurs, d'équipements informatiques périphériques et de logiciels","DIRECT BUROTIC,DENAIN",10 à 19 salariés,Modifier ces informations
